path,label
detections/crops/C2_20251106_190455_trk.png,not_comet
detections/crops/C2_20251106_190456_trk.png,not_comet
detections/crops/C2_20251106_190457_trk.png,not_comet
detections/crops/C3_20251106_190505_trk.png,not_comet
detections/crops/C3_20251106_190506_trk.png,not_comet
detections/crops/C3_20251106_190507_trk.png,not_comet
detections/crops/C3_20251106_190508_trk.png,not_comet
detections/crops/C3_20251106_190509_trk.png,not_comet
detections/crops/C3_20251106_190510_trk.png,not_comet
detections/crops/C3_20251106_190511_trk.png,not_comet
detections/crops/C3_20251106_190512_trk.png,not_comet
detections/crops/C3_20251106_190513_trk.png,not_comet
detections/crops/C3_20251106_190514_trk.png,not_comet
detections/crops/C3_20251106_190515_trk.png,not_comet
detections/crops/C3_20251106_190516_trk.png,not_comet
detections/crops/C3_20251106_190517_trk.png,not_comet
detections/crops/C3_20251106_190518_trk.png,not_comet
detections/crops/C3_20251106_190519_trk.png,not_comet
detections/crops/C3_20251106_190520_trk.png,not_comet
detections/crops/C3_20251106_190521_trk.png,not_comet
detections/crops/C3_20251106_190522_trk.png,not_comet
detections/crops/C3_20251106_190523_trk.png,not_comet
detections/crops/C3_20251106_190524_trk.png,not_comet
detections/crops/C3_20251106_190525_trk.png,not_comet
detections/crops/C3_20251106_190526_trk.png,not_comet
detections/crops/C3_20251106_190527_trk.png,not_comet
detections/crops/C3_20251106_190528_trk.png,not_comet
detections/crops/C3_20251106_190529_trk.png,not_comet
detections/crops/C3_20251106_190530_trk.png,not_comet
detections/crops/C3_20251106_190531_trk.png,not_comet
detections/crops/C3_20251106_190532_trk.png,not_comet
detections/crops/C3_20251106_190533_trk.png,not_comet
detections/crops/C3_20251106_190534_trk.png,not_comet
detections/crops/C3_20251106_190535_trk.png,not_comet
detections/crops/C3_20251106_190536_trk.png,not_comet
detections/crops/C3_20251106_190537_trk.png,not_comet
detections/crops/C3_20251106_190538_trk.png,not_comet
detections/crops/C3_20251106_190539_trk.png,not_comet
